method,iter,file-10m.dat,nic1-latency,nic1-dropped,nic1-down-mbps,nic1-up-mbps
quic ,0 ,6.140 ,40 ,0 ,10 ,10
wget ,0 ,5.892 ,40 ,0 ,10 ,10
quic ,0 ,6.574 ,80 ,0 ,10 ,10
wget ,0 ,6.923 ,80 ,0 ,10 ,10
quic ,0 ,9.563 ,160 ,0 ,10 ,10
wget ,0 ,9.760 ,160 ,0 ,10 ,10
quic ,0 ,8.436 ,240 ,0 ,10 ,10
wget ,0 ,6.869 ,240 ,0 ,10 ,10
quic ,0 ,9.601 ,320 ,0 ,10 ,10
wget ,0 ,7.859 ,320 ,0 ,10 ,10
quic ,0 ,10.686 ,400 ,0 ,10 ,10
wget ,0 ,8.089 ,400 ,0 ,10 ,10
