method,iter,file-10m.dat,nic1-latency,nic1-dropped,nic1-down-mbps,nic1-up-mbps
quic ,0 ,14.023 ,80 ,0 ,5 ,5
wget ,0 ,7.506 ,80 ,0 ,5 ,5
quic ,0 ,6.560 ,80 ,0.1 ,5 ,5
wget ,0 ,6.017 ,80 ,0.1 ,5 ,5
quic ,0 ,6.455 ,80 ,0.5 ,5 ,5
wget ,0 ,5.965 ,80 ,0.5 ,5 ,5
quic ,0 ,6.865 ,80 ,1.0 ,5 ,5
wget ,0 ,7.915 ,80 ,1.0 ,5 ,5
quic ,0 ,8.156 ,80 ,3.0 ,5 ,5
wget ,0 ,6.338 ,80 ,3.0 ,5 ,5
quic ,0 ,9.769 ,80 ,5.0 ,5 ,5
wget ,0 ,13.291 ,80 ,5.0 ,5 ,5
